# x1 x2 x3 x4
# 23331 4
# 11 21 101 4
 6.59733346e-03 -2.00000000e-01 -1.00000000e-01  1.04614383e+00
 1.31946673e-02 -2.00000000e-01 -1.00000000e-01  1.04614391e+00
 1.97920014e-02 -2.00000000e-01 -1.00000000e-01  1.04614379e+00
 2.63893344e-02 -2.00000000e-01 -1.00000000e-01  1.04614359e+00
 3.29866682e-02 -2.00000000e-01 -1.00000000e-01  1.04614344e+00
 3.95840025e-02 -2.00000000e-01 -1.00000000e-01  1.04614345e+00
 4.61813354e-02 -2.00000000e-01 -1.00000000e-01  1.04614368e+00
 5.27786697e-02 -2.00000000e-01 -1.00000000e-01  1.04614368e+00
 5.93760038e-02 -2.00000000e-01 -1.00000000e-01  1.04614355e+00
 6.59733373e-02 -2.00000000e-01 -1.00000000e-01  1.04614336e+00
 7.25706706e-02 -2.00000000e-01 -1.00000000e-01  1.04614323e+00
 7.91680047e-02 -2.00000000e-01 -1.00000000e-01  1.04614326e+00
 8.57653388e-02 -2.00000000e-01 -1.00000000e-01  1.04614356e+00
 9.23626722e-02 -2.00000000e-01 -1.00000000e-01  1.04614401e+00
 9.89600056e-02 -2.00000000e-01 -1.00000000e-01  1.04614411e+00
 1.05557339e-01 -2.00000000e-01 -1.00000000e-01  1.04614390e+00
 1.12154673e-01 -2.00000000e-01 -1.00000000e-01  1.04614348e+00
 1.18752007e-01 -2.00000000e-01 -1.00000000e-01  1.04614310e+00
 1.25349341e-01 -2.00000000e-01 -1.00000000e-01  1.04614300e+00
 1.31946675e-01 -2.00000000e-01 -1.00000000e-01  1.04614327e+00
 1.38544008e-01 -2.00000000e-01 -1.00000000e-01  1.04614374e+00
 1.45141342e-01 -2.00000000e-01 -1.00000000e-01  1.04614394e+00
 1.51738675e-01 -2.00000000e-01 -1.00000000e-01  1.04614393e+00
 1.58336009e-01 -2.00000000e-01 -1.00000000e-01  1.04614378e+00
 1.64933343e-01 -2.00000000e-01 -1.00000000e-01  1.04614354e+00
 1.71530677e-01 -2.00000000e-01 -1.00000000e-01  1.04614329e+00
 1.78128010e-01 -2.00000000e-01 -1.00000000e-01  1.04614321e+00
 1.84725344e-01 -2.00000000e-01 -1.00000000e-01  1.04614349e+00
 1.91322678e-01 -2.00000000e-01 -1.00000000e-01  1.04614366e+00
 1.97920012e-01 -2.00000000e-01 -1.00000000e-01  1.04614370e+00
 2.04517346e-01 -2.00000000e-01 -1.00000000e-01  1.04614367e+00
 2.11114679e-01 -2.00000000e-01 -1.00000000e-01  1.04614360e+00
 2.17712013e-01 -2.00000000e-01 -1.00000000e-01  1.04614353e+00
 2.24309346e-01 -2.00000000e-01 -1.00000000e-01  1.04614352e+00
 2.30906680e-01 -2.00000000e-01 -1.00000000e-01  1.04614358e+00
 2.37504014e-01 -2.00000000e-01 -1.00000000e-01  1.04614358e+00
 2.44101348e-01 -2.00000000e-01 -1.00000000e-01  1.04614357e+00
 2.50698681e-01 -2.00000000e-01 -1.00000000e-01  1.04614354e+00
 2.57296015e-01 -2.00000000e-01 -1.00000000e-01  1.04614352e+00
 2.63893349e-01 -2.00000000e-01 -1.00000000e-01  1.04614352e+00
 2.70490682e-01 -2.00000000e-01 -1.00000000e-01  1.04614355e+00
 2.77088016e-01 -2.00000000e-01 -1.00000000e-01  1.04614363e+00
