# x1 x2 x3 x4 x5 x6 x7 x8 x9
# 23331 9
# 11 21 101 9
 2.11114679e-01 -2.00000000e-01 -1.00000000e-01  5.58967022e-01 -6.40357666e-01 -1.00000000e-01  6.52778246e-02 -7.47830273e-02  1.04614360e+00
 2.17712013e-01 -2.00000000e-01 -1.00000000e-01  5.62979434e-01 -6.36832968e-01 -1.00000000e-01  6.57463603e-02 -7.43714026e-02  1.04614353e+00
 2.24309346e-01 -2.00000000e-01 -1.00000000e-01  5.66969657e-01 -6.33283096e-01 -1.00000000e-01  6.62123725e-02 -7.39568106e-02  1.04614352e+00
 2.30906680e-01 -2.00000000e-01 -1.00000000e-01  5.70937446e-01 -6.29708270e-01 -1.00000000e-01  6.66758606e-02 -7.35392669e-02  1.04614358e+00
 2.37504014e-01 -2.00000000e-01 -1.00000000e-01  5.74882738e-01 -6.26108545e-01 -1.00000000e-01  6.71366775e-02 -7.31188153e-02  1.04614358e+00
 2.44101348e-01 -2.00000000e-01 -1.00000000e-01  5.78805322e-01 -6.22484113e-01 -1.00000000e-01  6.75947646e-02 -7.26955338e-02  1.04614357e+00
 2.50698681e-01 -2.00000000e-01 -1.00000000e-01  5.82705071e-01 -6.18835093e-01 -1.00000000e-01  6.80501375e-02 -7.22694193e-02  1.04614354e+00
 2.57296015e-01 -2.00000000e-01 -1.00000000e-01  5.86581778e-01 -6.15161678e-01 -1.00000000e-01  6.85028021e-02 -7.18404771e-02  1.04614352e+00
 2.63893349e-01 -2.00000000e-01 -1.00000000e-01  5.90435366e-01 -6.11463941e-01 -1.00000000e-01  6.89527789e-02 -7.14086977e-02  1.04614352e+00
 2.70490682e-01 -2.00000000e-01 -1.00000000e-01  5.94265613e-01 -6.07742096e-01 -1.00000000e-01  6.94000711e-02 -7.09740871e-02  1.04614355e+00
 2.77088016e-01 -2.00000000e-01 -1.00000000e-01  5.98072409e-01 -6.03996247e-01 -1.00000000e-01  6.98446952e-02 -7.05366382e-02  1.04614363e+00
 2.83685349e-01 -2.00000000e-01 -1.00000000e-01  6.01855601e-01 -6.00226547e-01 -1.00000000e-01  7.02866250e-02 -7.00963350e-02  1.04614370e+00
