# x1 x2 x3 x4 x5 x6
# 4851 6
# 4851 6
 6.00000000e-01 -8.00000000e-01 -1.00000000e-02  5.35959256e-02 -8.44242890e-02  1.02092219e+00
 6.10000000e-01 -8.00000000e-01 -1.00000000e-02  5.42587877e-02 -8.39998787e-02  1.02044082e+00
 6.20000000e-01 -8.00000000e-01 -1.00000000e-02  5.49112524e-02 -8.35749266e-02  1.01996240e+00
 6.30000000e-01 -8.00000000e-01 -1.00000000e-02  5.55534031e-02 -8.31495381e-02  1.01948700e+00
 6.40000000e-01 -8.00000000e-01 -1.00000000e-02  5.61852965e-02 -8.27237656e-02  1.01901462e+00
 6.50000000e-01 -8.00000000e-01 -1.00000000e-02  5.68070665e-02 -8.22978750e-02  1.01854548e+00
 6.60000000e-01 -8.00000000e-01 -1.00000000e-02  5.74188373e-02 -8.18721748e-02  1.01808059e+00
 6.70000000e-01 -8.00000000e-01 -1.00000000e-02  5.80207571e-02 -8.14468552e-02  1.01762073e+00
 6.80000000e-01 -8.00000000e-01 -1.00000000e-02  5.86128587e-02 -8.10219059e-02  1.01716575e+00
 6.90000000e-01 -8.00000000e-01 -1.00000000e-02  5.91952466e-02 -8.05974069e-02  1.01671561e+00
 7.00000000e-01 -8.00000000e-01 -1.00000000e-02  5.97680539e-02 -8.01734820e-02  1.01627037e+00
 7.10000000e-01 -8.00000000e-01 -1.00000000e-02  6.03314458e-02 -7.97502750e-02  1.01583009e+00
 7.20000000e-01 -8.00000000e-01 -1.00000000e-02  6.08855727e-02 -7.93280006e-02  1.01539489e+00
 7.30000000e-01 -8.00000000e-01 -1.00000000e-02  6.14305354e-02 -7.89068450e-02  1.01496597e+00
 7.40000000e-01 -8.00000000e-01 -1.00000000e-02  6.19663768e-02 -7.84868034e-02  1.01454344e+00
 7.50000000e-01 -8.00000000e-01 -1.00000000e-02  6.24932236e-02 -7.80679622e-02  1.01412722e+00
 7.60000000e-01 -8.00000000e-01 -1.00000000e-02  6.30112487e-02 -7.76504126e-02  1.01371722e+00
 7.70000000e-01 -8.00000000e-01 -1.00000000e-02  6.35205997e-02 -7.72342560e-02  1.01331335e+00
 7.80000000e-01 -8.00000000e-01 -1.00000000e-02  6.40214349e-02 -7.68195853e-02  1.01291545e+00
 7.90000000e-01 -8.00000000e-01 -1.00000000e-02  6.45138605e-02 -7.64065618e-02  1.01252442e+00
 8.00000000e-01 -8.00000000e-01 -1.00000000e-02  6.49979168e-02 -7.59952377e-02  1.01214081e+00
 6.00000000e-01 -7.90000000e-01 -1.00000000e-02  5.40281686e-02 -8.41483824e-02  1.02167779e+00
 6.10000000e-01 -7.90000000e-01 -1.00000000e-02  5.46920120e-02 -8.37185996e-02  1.02117853e+00
 6.20000000e-01 -7.90000000e-01 -1.00000000e-02  5.53452276e-02 -8.32882483e-02  1.02068241e+00
 6.30000000e-01 -7.90000000e-01 -1.00000000e-02  5.59879220e-02 -8.28574774e-02  1.02018963e+00
 6.40000000e-01 -7.90000000e-01 -1.00000000e-02  5.66202231e-02 -8.24265350e-02  1.01970042e+00
 6.50000000e-01 -7.90000000e-01 -1.00000000e-02  5.72422573e-02 -8.19957377e-02  1.01921498e+00
 6.60000000e-01 -7.90000000e-01 -1.00000000e-02  5.78541654e-02 -8.15652811e-02  1.01873345e+00
 6.70000000e-01 -7.90000000e-01 -1.00000000e-02  5.84559893e-02 -8.11351677e-02  1.01825605e+00
 6.80000000e-01 -7.90000000e-01 -1.00000000e-02  5.90478221e-02 -8.07054687e-02  1.01778388e+00
 6.90000000e-01 -7.90000000e-01 -1.00000000e-02  5.96298249e-02 -8.02763364e-02  1.01731713e+00
 7.00000000e-01 -7.90000000e-01 -1.00000000e-02  6.02021625e-02 -7.98479225e-02  1.01685592e+00
 7.10000000e-01 -7.90000000e-01 -1.00000000e-02  6.07649856e-02 -7.94204239e-02  1.01640028e+00
 7.20000000e-01 -7.90000000e-01 -1.00000000e-02  6.13183894e-02 -7.89940255e-02  1.01595008e+00
 7.30000000e-01 -7.90000000e-01 -1.00000000e-02  6.18624263e-02 -7.85687556e-02  1.01550514e+00
 7.40000000e-01 -7.90000000e-01 -1.00000000e-02  6.23972314e-02 -7.81446936e-02  1.01506647e+00
 7.50000000e-01 -7.90000000e-01 -1.00000000e-02  6.29229820e-02 -7.77219444e-02  1.01463476e+00
 7.60000000e-01 -7.90000000e-01 -1.00000000e-02  6.34398335e-02 -7.73006137e-02  1.01420995e+00
 7.70000000e-01 -7.90000000e-01 -1.00000000e-02  6.39479512e-02 -7.68807887e-02  1.01379194e+00
 7.80000000e-01 -7.90000000e-01 -1.00000000e-02  6.44474217e-02 -7.64626195e-02  1.01338045e+00
 7.90000000e-01 -7.90000000e-01 -1.00000000e-02  6.49383031e-02 -7.60461760e-02  1.01297520e+00
 8.00000000e-01 -7.90000000e-01 -1.00000000e-02  6.54207556e-02 -7.56315265e-02  1.01257685e+00
 6.00000000e-01 -7.80000000e-01 -1.00000000e-02  5.44662592e-02 -8.38656378e-02  1.02245252e+00
 6.10000000e-01 -7.80000000e-01 -1.00000000e-02  5.51309234e-02 -8.34302673e-02  1.02193464e+00
 6.20000000e-01 -7.80000000e-01 -1.00000000e-02  5.57847672e-02 -8.29943840e-02  1.02141989e+00
 6.30000000e-01 -7.80000000e-01 -1.00000000e-02  5.64279409e-02 -8.25582719e-02  1.02090900e+00
 6.40000000e-01 -7.80000000e-01 -1.00000000e-02  5.70605722e-02 -8.21222815e-02  1.02040226e+00
